Proj_Own,Spread,Total,L3_Air_Yards,L3_Targets,L3_Rush_Att,L3_Pass_Air_Yards,L3_Pass_Att,L3_CPOE,L3_WOPR,L3_Target_Share,L3_Air_Yards_Share,L3_Rush_Share,Own
4.9,-3,51.5,0,0,2.33,270.33,38,-2.33,0,0,0,8.6,6.66
12.3,-3,52.5,0,0,1.67,256.33,35.33,-1.33,0,0,0,7.4,7.68
5.6,1,54,0,0,2,273,33.33,-0.67,0,0,0,7.6,2.22
2,-3.5,49,0,0,2,313.33,33,2.33,0,0,0,8,4.44
2.8,3,51.5,0,0,1.33,336,37,1.33,0,0,0,6,0
2.7,2.5,46,0,0,0.67,305,38,0.67,0,0,0,6.2,2.22
3.2,-3,47,0,0,0.33,264,38,-3.33,0,0,0,7.7,0
1.2,3,44,5,0.33,1.33,248.67,39.33,-3.67,0.07,2.4,4.5,11.1,0
4,-9.5,55.5,5,0.33,1.67,359.67,42.67,-3,0.07,2.4,4.5,9,9.51
0.3,4,48.5,-1,4,7.67,0,0,0,0.19,12.5,-0.3,29,0
0.2,7.5,42.5,10.33,4,0.33,0,0,0,0.2,11.4,3.9,4.5,0
1.6,4,48.5,47.33,3.33,0,0,0,0,0.28,9.5,19.9,0,0
9.2,7,49.5,46.67,3.67,0,0,0,0,0.29,9.5,21.8,0,15.55
3.8,-5.5,41,37.67,3.33,0,0,0,0,0.26,8.7,17.9,0,0
1.7,9.5,49.5,38.67,4.67,0,0,0,0,0.33,12.3,21.4,0,0
3.2,3.5,49.5,39,4,0,0,0,0,0.35,11.5,25.1,0,0
0.8,-17,36.5,21,2,0,0,0,0,0.22,7.3,16,0,0
0.6,-2.5,46,24.33,1.67,0,0,0,0,0.3,9.1,23.7,0,0
1,-7.5,43,31.33,2.67,0,0,0,0,0.3,10.7,19.9,0,0
6.5,7.5,41.5,65,7.67,0.33,0,0,0,0.57,23.6,30.8,4.5,4.44
10.7,7,47,96.67,8,0.33,0,0,0,0.74,27.1,47.5,2.4,4.45
6.6,7,43.5,93.67,7.67,0.33,0,0,0,0.6,21.4,39.7,2.9,0
3.1,4,48.5,0,0,0,0,0,0,0,0,0,0,0
2,7.5,47,22,3,0,0,0,0,0.19,8.8,7.8,0,0
0.4,-6,42.5,20,2,0,0,0,0,0.14,5.8,7.6,0,0
3,7.5,42.5,27,3.67,0,0,0,0,0.22,10.4,9.4,0,2.22
1.8,-3,55,49.33,5.33,0,0,0,0,0.3,13.6,14.3,0,0
2.1,-3.5,51.5,66,5.67,0,0,0,0,0.42,17,23.1,0,0
3.2,-6,49.5,65,6,0,0,0,0,0.35,15.2,17.5,0,0
3.1,-3.5,56,63.33,5,0,0,0,0,0.31,12.3,17.6,0,4.76
3.9,7,52.5,67,5.33,0,0,0,0,0.32,12.6,18.2,0,0
2.9,4,48.5,68.67,6.33,0,7.33,0.33,54,0.59,22.1,37.4,0,0
4,-3,51.5,35.67,4.33,0,0,0,0,0.35,13,22.3,0,4.44
1.2,9.5,49.5,66.33,6.33,0,0,0,0,0.57,21.7,34.3,0,0
2.3,3.5,49.5,46.33,5,0,0,0,0,0.42,18.4,21.3,0,0
0.5,-17,36.5,26.33,3.67,0,0,0,0,0.32,13.6,17,0,0
0.8,-2.5,46,16,2.33,0,0,0,0,0.25,11.1,11.9,0,0
0.9,-7.5,43,28,4,0,0,0,0,0.34,15,15.7,0,0
0.9,11,48.5,0,0,3,84,10,1,0,0,0,7.5,2.22
1.7,2.5,42.5,38,3.33,0,0,0,0,0.29,11.5,16.2,0,0
1.5,4.5,42.5,12.67,4,0,0,0,0,0.21,11.8,4.3,0,0
4.3,2.5,46,6,3,0,0,0,0,0.15,8.5,2.5,0,2.22
